variant,l1i_size,l1d_size,l2_size,l1_assoc,l2_assoc,sim_ticks,ipc,cpi,l1d_miss_rate,l1i_miss_rate,l2_miss_rate,l1d_hit_rate,l1i_hit_rate,l2_hit_rate,l1d_misses,l2_misses
chunked,32KiB,64KiB,1MB,4,16,4222612259000,0.275314,3.632221,0.018127,0.0,0.530128,0.9818730148439686,0.9999997210171584,0.469872455164558,5575944,2956199
chunked,32KiB,32KiB,256KiB,16,16,4369864039000,0.266036,3.758885,0.020486,0.0,0.678518,0.9795138986202219,0.9999997222795242,0.3214816095993932,6301619,4276067
chunked,32KiB,64KiB,256KiB,4,4,4344346863000,0.267599,3.736936,0.018127,0.0,0.762575,0.9818730148439686,0.9999997210171584,0.2374252025323901,5575944,4252416
chunked,32KiB,128KiB,512KiB,4,4,4261054530000,0.27283,3.665289,0.015978,0.0,0.729977,0.9840224365436097,0.9999997210171584,0.2700229084354312,4914772,3587998
chunked,32KiB,64KiB,1MB,8,16,4222892563000,0.275295,3.632463,0.01819,0.0,0.528282,0.9818096802902482,0.9999997222795242,0.47171825945983037,5595426,2956197
chunked,32KiB,64KiB,1MB,4,8,4221542259000,0.275383,3.631301,0.018127,0.0,0.528155,0.9818730148439686,0.9999997210171584,0.47184523613117585,5575944,2945198
chunked,32KiB,32KiB,512KiB,4,4,4303666874000,0.270128,3.701943,0.020317,0.0,0.574091,0.979683343421013,0.9999997210171584,0.4259088679980384,6249497,3588038
chunked,32KiB,64KiB,1MB,8,8,4221884854000,0.275361,3.631596,0.01819,0.0,0.526316,0.9818096802902482,0.9999997222795242,0.47368417290459824,5595426,2945196
chunked,32KiB,32KiB,512KiB,8,4,4304239373000,0.270092,3.702436,0.020408,0.0,0.571536,0.9795924962747388,0.9999997222795242,0.4284644772254618,6277442,3588036
chunked,32KiB,64KiB,512KiB,16,8,4284336135000,0.271347,3.685315,0.018237,0.0,0.642414,0.9817634488618293,0.9999997222795242,0.3575860507125283,5609647,3604002
chunked,32KiB,128KiB,1MB,4,4,4198666257000,0.276884,3.611623,0.015978,0.0,0.596186,0.9840224365436097,0.9999997210171584,0.4038136644951803,4914772,2930387
