l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,sim_ticks,sim_seconds,cpi,ipc,l1d_hit_rate,l1i_hit_rate,l2_hit_rate,l1d_misses,l2_misses
16kB,64kB,512kB,8,8,16,1016860833000,1.016861,4.631364,0.215919,0.49950484353880764,0.9999988166510437,0.9986319798300765,16927058,23157
16kB,64kB,1MB,2,2,4,1024354911000,1.024355,4.665496,0.214339,0.49403288638414494,0.9999987611815614,0.9992495527528418,17112123,12842
16kB,64kB,1MB,2,2,8,1024354911000,1.024355,4.665496,0.214339,0.49403288638414494,0.9999987611815614,0.9992495527528418,17112123,12842
16kB,64kB,1MB,2,2,16,1024354911000,1.024355,4.665496,0.214339,0.49403288638414494,0.9999987611815614,0.9992495527528418,17112123,12842
16kB,64kB,1MB,4,4,4,1016024158000,1.016024,4.627553,0.216097,0.49949774727686125,0.9999988129530782,0.9992413583407428,16927298,12842
16kB,64kB,1MB,4,4,8,1016024158000,1.016024,4.627553,0.216097,0.49949774727686125,0.9999988129530782,0.9992413583407428,16927298,12842
16kB,64kB,1MB,4,4,16,1016024158000,1.016024,4.627553,0.216097,0.49949774727686125,0.9999988129530782,0.9992413583407428,16927298,12842
16kB,64kB,1MB,8,8,4,1016018364000,1.016018,4.627527,0.216098,0.49950484353880764,0.9999988166510437,0.9992413475397436,16927058,12842
16kB,64kB,1MB,8,8,8,1016018364000,1.016018,4.627527,0.216098,0.49950484353880764,0.9999988166510437,0.9992413475397436,16927058,12842
16kB,64kB,1MB,8,8,16,1016018364000,1.016018,4.627527,0.216098,0.49950484353880764,0.9999988166510437,0.9992413475397436,16927058,12842
